Direccion,l,mu,Real,Imag,Magnitud
z,0,0,0.2820947917738783,0.0,0.2820947917738783
z,4,0,-0.05068642065020196,-1.0794273286241986e-19,0.05068642065020196
z,6,0,-1.6346195948211606,5.0922155328471355e-19,1.6346195948211606
z,8,0,-0.12319989185874651,2.1923873141481252e-20,0.12319989185874651
z,10,0,-0.8371924241722889,-3.0203175722541105e-19,0.8371924241722889
z,12,0,1.1830794288308308,-5.288591091210495e-21,1.1830794288308308
z,12,1,0.45042416248909195,-5.985547147231458e-19,0.45042416248909195
z,14,0,0.3334379009545082,-4.3284291978186653e-19,0.3334379009545082
z,16,0,0.09805150600609974,4.5599424318092565e-19,0.09805150600609974
z,16,1,0.28641652437722687,-6.23358157063215e-19,0.28641652437722687
z,18,0,0.09770769684863292,-8.655522822094578e-18,0.09770769684863292
z,18,1,-0.2571139222840904,1.0904626442518851e-16,0.2571139222840904
z,20,0,-0.029688737850828074,-6.361675430092575e-15,0.029688737850828074
z,20,1,-0.05289209220982777,1.2018632797505269e-15,0.05289209220982777
x,0,0,0.2820947917738783,0.0,0.2820947917738783
x,4,0,0.49301926706217414,-1.3877787807814457e-17,0.49301926706217414
x,6,0,1.7396630430771975,-1.734723475976807e-18,1.7396630430771975
x,8,0,1.7853529800356163,1.3877787807814457e-17,1.7853529800356163
x,10,0,-2.4571896430215103,-1.3877787807814457e-17,2.4571896430215103
x,12,0,1.2560475981116077,0.0,1.2560475981116077
x,12,1,1.6648256084283302,6.938893903907228e-18,1.6648256084283302
x,14,0,-1.5852100083649856,-3.2526065174565133e-18,1.5852100083649856
x,16,0,-0.24863275138032098,8.700313084865129e-18,0.24863275138032098
x,16,1,0.03164943406147621,1.4927956534834187e-19,0.03164943406147621
x,18,0,-0.49973959580969035,-5.195496810550537e-16,0.49973959580969035
x,18,1,0.37359009588746256,3.7647836237386656e-15,0.37359009588746256
x,20,0,0.09940699602527381,-4.8780424144467815e-15,0.09940699602527381
x,20,1,-0.019944923693348608,-1.2032909391113122e-14,0.019944923693348608
y,0,0,0.2820947917738783,0.0,0.2820947917738783
y,4,0,1.1396570853116483,2.0816681711721685e-17,1.1396570853116483
y,6,0,1.6703744715460895,5.204170427930421e-18,1.6703744715460895
y,8,0,-0.7271992726408273,1.214306433183765e-17,0.7271992726408273
y,10,0,0.42765065719532847,3.469446951953614e-18,0.42765065719532847
y,12,0,0.35827809450449977,-6.938893903907228e-18,0.35827809450449977
y,12,1,0.5101313351300603,2.77555756156289e-17,0.5101313351300603
y,14,0,0.10677347139037953,2.168404344971009e-19,0.10677347139037953
y,16,0,0.18923922526830764,4.9691096713520995e-18,0.18923922526830764
y,16,1,0.21243018336389,-3.1742401994005114e-18,0.21243018336389
y,18,0,0.19390618374918753,7.008282842946301e-16,0.19390618374918753
y,18,1,0.026058077502272042,-3.990731356484645e-15,0.026058077502272042
y,20,0,-0.03250491110831897,4.4027281820291364e-15,0.03250491110831897
y,20,1,-0.0055484539817189605,8.41817934804645e-15,0.0055484539817189605
